full_name,parent,shape,dtype,num_values
efficientnetb0/block6c_project_bn/beta:0,efficientnetb0/block6c_project_bn,"(192,)",float32,192
efficientnetb0/block6c_project_bn/gamma:0,efficientnetb0/block6c_project_bn,"(192,)",float32,192
efficientnetb0/block6c_project_bn/moving_mean:0,efficientnetb0/block6c_project_bn,"(192,)",float32,192
efficientnetb0/block6c_project_bn/moving_variance:0,efficientnetb0/block6c_project_bn,"(192,)",float32,192
efficientnetb0/block6c_project_conv/kernel:0,efficientnetb0/block6c_project_conv,"(1, 1, 1152, 192)",float32,221184
efficientnetb0/block6c_se_expand/bias:0,efficientnetb0/block6c_se_expand,"(1152,)",float32,1152
efficientnetb0/block6c_se_expand/kernel:0,efficientnetb0/block6c_se_expand,"(1, 1, 48, 1152)",float32,55296
efficientnetb0/block6c_se_reduce/bias:0,efficientnetb0/block6c_se_reduce,"(48,)",float32,48
efficientnetb0/block6c_se_reduce/kernel:0,efficientnetb0/block6c_se_reduce,"(1, 1, 1152, 48)",float32,55296
efficientnetb0/block6d_bn/beta:0,efficientnetb0/block6d_bn,"(1152,)",float32,1152
efficientnetb0/block6d_bn/gamma:0,efficientnetb0/block6d_bn,"(1152,)",float32,1152
efficientnetb0/block6d_bn/moving_mean:0,efficientnetb0/block6d_bn,"(1152,)",float32,1152
efficientnetb0/block6d_bn/moving_variance:0,efficientnetb0/block6d_bn,"(1152,)",float32,1152
efficientnetb0/block6d_dwconv/depthwise_kernel:0,efficientnetb0/block6d_dwconv,"(5, 5, 1152, 1)",float32,28800
efficientnetb0/block6d_expand_bn/beta:0,efficientnetb0/block6d_expand_bn,"(1152,)",float32,1152
efficientnetb0/block6d_expand_bn/gamma:0,efficientnetb0/block6d_expand_bn,"(1152,)",float32,1152
efficientnetb0/block6d_expand_bn/moving_mean:0,efficientnetb0/block6d_expand_bn,"(1152,)",float32,1152
efficientnetb0/block6d_expand_bn/moving_variance:0,efficientnetb0/block6d_expand_bn,"(1152,)",float32,1152
efficientnetb0/block6d_expand_conv/kernel:0,efficientnetb0/block6d_expand_conv,"(1, 1, 192, 1152)",float32,221184
efficientnetb0/block6d_project_bn/beta:0,efficientnetb0/block6d_project_bn,"(192,)",float32,192
efficientnetb0/block6d_project_bn/gamma:0,efficientnetb0/block6d_project_bn,"(192,)",float32,192
efficientnetb0/block6d_project_bn/moving_mean:0,efficientnetb0/block6d_project_bn,"(192,)",float32,192
efficientnetb0/block6d_project_bn/moving_variance:0,efficientnetb0/block6d_project_bn,"(192,)",float32,192
efficientnetb0/block6d_project_conv/kernel:0,efficientnetb0/block6d_project_conv,"(1, 1, 1152, 192)",float32,221184
efficientnetb0/block6d_se_expand/bias:0,efficientnetb0/block6d_se_expand,"(1152,)",float32,1152
efficientnetb0/block6d_se_expand/kernel:0,efficientnetb0/block6d_se_expand,"(1, 1, 48, 1152)",float32,55296
efficientnetb0/block6d_se_reduce/bias:0,efficientnetb0/block6d_se_reduce,"(48,)",float32,48
efficientnetb0/block6d_se_reduce/kernel:0,efficientnetb0/block6d_se_reduce,"(1, 1, 1152, 48)",float32,55296
efficientnetb0/block7a_bn/beta:0,efficientnetb0/block7a_bn,"(1152,)",float32,1152
efficientnetb0/block7a_bn/gamma:0,efficientnetb0/block7a_bn,"(1152,)",float32,1152
efficientnetb0/block7a_bn/moving_mean:0,efficientnetb0/block7a_bn,"(1152,)",float32,1152
efficientnetb0/block7a_bn/moving_variance:0,efficientnetb0/block7a_bn,"(1152,)",float32,1152
efficientnetb0/block7a_dwconv/depthwise_kernel:0,efficientnetb0/block7a_dwconv,"(3, 3, 1152, 1)",float32,10368
efficientnetb0/block7a_expand_bn/beta:0,efficientnetb0/block7a_expand_bn,"(1152,)",float32,1152
efficientnetb0/block7a_expand_bn/gamma:0,efficientnetb0/block7a_expand_bn,"(1152,)",float32,1152
efficientnetb0/block7a_expand_bn/moving_mean:0,efficientnetb0/block7a_expand_bn,"(1152,)",float32,1152
efficientnetb0/block7a_expand_bn/moving_variance:0,efficientnetb0/block7a_expand_bn,"(1152,)",float32,1152
efficientnetb0/block7a_expand_conv/kernel:0,efficientnetb0/block7a_expand_conv,"(1, 1, 192, 1152)",float32,221184
efficientnetb0/block7a_project_bn/beta:0,efficientnetb0/block7a_project_bn,"(320,)",float32,320
efficientnetb0/block7a_project_bn/gamma:0,efficientnetb0/block7a_project_bn,"(320,)",float32,320
efficientnetb0/block7a_project_bn/moving_mean:0,efficientnetb0/block7a_project_bn,"(320,)",float32,320
efficientnetb0/block7a_project_bn/moving_variance:0,efficientnetb0/block7a_project_bn,"(320,)",float32,320
efficientnetb0/block7a_project_conv/kernel:0,efficientnetb0/block7a_project_conv,"(1, 1, 1152, 320)",float32,368640
efficientnetb0/block7a_se_expand/bias:0,efficientnetb0/block7a_se_expand,"(1152,)",float32,1152
efficientnetb0/block7a_se_expand/kernel:0,efficientnetb0/block7a_se_expand,"(1, 1, 48, 1152)",float32,55296
efficientnetb0/block7a_se_reduce/bias:0,efficientnetb0/block7a_se_reduce,"(48,)",float32,48
efficientnetb0/block7a_se_reduce/kernel:0,efficientnetb0/block7a_se_reduce,"(1, 1, 1152, 48)",float32,55296
efficientnetb0/normalization_1/count:0,efficientnetb0/normalization_1,(),int64,1
efficientnetb0/normalization_1/mean:0,efficientnetb0/normalization_1,"(3,)",float32,3
efficientnetb0/normalization_1/variance:0,efficientnetb0/normalization_1,"(3,)",float32,3
efficientnetb0/stem_bn/beta:0,efficientnetb0/stem_bn,"(32,)",float32,32
efficientnetb0/stem_bn/gamma:0,efficientnetb0/stem_bn,"(32,)",float32,32
efficientnetb0/stem_bn/moving_mean:0,efficientnetb0/stem_bn,"(32,)",float32,32
efficientnetb0/stem_bn/moving_variance:0,efficientnetb0/stem_bn,"(32,)",float32,32
efficientnetb0/stem_conv/kernel:0,efficientnetb0/stem_conv,"(3, 3, 3, 32)",float32,864
efficientnetb0/top_bn/beta:0,efficientnetb0/top_bn,"(1280,)",float32,1280
efficientnetb0/top_bn/gamma:0,efficientnetb0/top_bn,"(1280,)",float32,1280
efficientnetb0/top_bn/moving_mean:0,efficientnetb0/top_bn,"(1280,)",float32,1280
efficientnetb0/top_bn/moving_variance:0,efficientnetb0/top_bn,"(1280,)",float32,1280
efficientnetb0/top_conv/kernel:0,efficientnetb0/top_conv,"(1, 1, 320, 1280)",float32,409600
predictions/predictions/bias:0,predictions/predictions,"(4,)",float32,4
predictions/predictions/kernel:0,predictions/predictions,"(256, 4)",float32,1024
